array_separation_lambda,array_separation_mm,target_z_m,method,control_points,radius_lambda,synthesis_wall_s,radial_window_mm,radial_samples,angular_samples,normalization,radial_profile_rmse_to_method_reference,selected,fixed_1p4,reference
35.0,300.125,0.0,IB,8,0.95,6.75999908708036e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.46645275289772314,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.0,6.520000169984996e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.46610674225336846,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.05,6.790000770706683e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4637926758730956,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.1,6.250001024454832e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4563866314749852,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.15,6.340000254567713e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4419172587060814,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.2,9.880001016426831e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.41837257828449126,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.25,0.00011439999798312783,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.37830020996135844,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.3,8.47000046633184e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3404087754910719,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.35,7.029999687802047e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2572216008446261,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.4,6.769999163225293e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.19852851774501054,False,True,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.45,6.829999620094895e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.17259895334729877,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.5,6.500000017695129e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.1669073335092694,True,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.55,6.78000069456175e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.18076405330653103,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.6,7.599999662488699e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.19783825534477917,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.65,6.839999696239829e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.20689995325798738,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.7,7.110000296961516e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.224647055912581,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
