panel,case_id,model,point_index,x_a,z_a,x_m,z_m,direction_displayed,arrow_x,arrow_z,force_x_n,force_y_n,force_z_n
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,27,-2.0833333333333335,-1.6666666666666665,-0.0013541666666666667,-0.0010833333333333333,True,0.9999332768862033,0.011551700118147617,4.182315891552911e-05,1.1202664719422379e-07,4.831608277807183e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,28,-1.6666666666666665,-1.6666666666666665,-0.0010833333333333333,-0.0010833333333333333,True,0.9998725851141069,0.015962879979280375,3.657317830398174e-05,1.3375321434829066e-07,5.838876517057979e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,29,-1.25,-1.6666666666666665,-0.0008125,-0.0010833333333333333,True,0.9997399923695662,0.02280236077470191,2.933439228551165e-05,1.25791382447934e-07,6.690673586193844e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,30,-0.8333333333333333,-1.6666666666666665,-0.0005416666666666666,-0.0010833333333333333,True,0.9993558174724715,0.035888021454634766,2.0493070622522074e-05,9.534283704738874e-08,7.359298313112354e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,31,-0.4166666666666665,-1.6666666666666665,-0.0002708333333333332,-0.0010833333333333333,True,0.9972683110952197,0.07386417051106761,1.0532593923467116e-05,5.0749899411303223e-08,7.801123377041983e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,32,0.0,-1.6666666666666665,0.0,-0.0010833333333333333,True,2.1213923414912154e-06,0.9999999999977499,1.6878845481452152e-12,-5.557710432974828e-13,7.95649402106794e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,33,0.41666666666666696,-1.6666666666666665,0.00027083333333333354,-0.0010833333333333333,True,-0.997268309470292,0.07386419244983243,-1.0532590636142812e-05,-5.0751004162134775e-08,7.801123271996754e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,34,0.8333333333333335,-1.6666666666666665,0.0005416666666666668,-0.0010833333333333333,True,-0.9993558173190641,0.03588802572649038,-2.0493067594766222e-05,-9.53439223626361e-08,7.359298102938522e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,35,1.25,-1.6666666666666665,0.0008125,-0.0010833333333333333,True,-0.9997399923468128,0.022802361772292754,-2.933438967180945e-05,-1.257924354467817e-07,6.690673282918606e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,36,1.666666666666667,-1.6666666666666665,0.0010833333333333335,-0.0010833333333333333,True,-0.9998725851163832,0.01596287983670575,-3.657317623264408e-05,-1.3375422285651909e-07,5.838876134206695e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,37,2.083333333333334,-1.6666666666666665,0.001354166666666667,-0.0010833333333333333,True,-0.9999332768937729,0.011551699462912594,-4.1823157479876323e-05,-1.1202759921000527e-07,4.831607837858975e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,38,2.5,-1.6666666666666665,0.001625,-0.0010833333333333333,True,-0.9999662579030214,0.008214807084044927,-4.4829467018391076e-05,-5.677773929579485e-08,3.6827784970355715e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,39,-2.5,-1.25,-0.001625,-0.0008125,True,0.9999999249859035,0.0003873347226119347,4.4940363569200746e-05,9.96896553430973e-08,1.7406964562923585e-08
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,40,-2.0833333333333335,-1.25,-0.0013541666666666667,-0.0008125,True,0.999998723967715,0.0015975177437423395,4.193287373900744e-05,1.4806793096082358e-07,6.698859532378192e-08
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,41,-1.6666666666666665,-1.25,-0.0010833333333333333,-0.0008125,True,0.9999955450507712,0.0029849419778119357,3.66751196151652e-05,1.6304243651076172e-07,1.0947359177987381e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,42,-1.25,-1.25,-0.0008125,-0.0008125,True,0.9999876911561062,0.004961606219762299,2.942106309492492e-05,1.5053633052516646e-07,1.459775264583837e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,43,-0.8333333333333333,-1.25,-0.0005416666666666666,-0.0008125,True,0.9999631167124481,0.008588667808622118,2.0555964058134567e-05,1.1323995031261031e-07,1.7655485870491593e-07
