case_id,target_id,method,point_index,x_m,y_m,z_m,radius_a,direction_defined,force_floor_n,angular_error_deg,magnitude_ratio_gorkov_elastic,elastic_force_norm_n,gorkov_force_norm_n,elastic_force_x_n,elastic_force_y_n,elastic_force_z_n,gorkov_force_x_n,gorkov_force_y_n,gorkov_force_z_n
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,18,0.007624722325026643,0.0003752776749732568,0.05704194434163986,1.0,True,1.1142852793561359e-08,7.638524849901183,1.1187587363624298,1.551191040892393e-05,1.7354085287654956e-05,1.2010329644876688e-05,-9.721602911651772e-06,-1.364471760075155e-06,1.2247970692869945e-05,-1.1857089872366316e-05,-3.2497553502424215e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,19,0.0079999999999999,-0.00065,0.0566666666666666,1.0,True,1.1142852793561359e-08,7.2327646419465985,1.1033142112498018,1.8538045398152754e-05,2.0453288936575924e-05,-1.3082574527726034e-06,1.84915025391394e-05,-1.0919462550197484e-07,1.9164177381026644e-07,2.0342675909668336e-05,-2.1156177792289296e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,20,0.0079999999999999,0.0,0.056016666666666604,1.0,True,1.1142852793561359e-08,88.91305256345501,2.043029854230372,6.704215178006293e-07,1.3696911757851244e-06,-5.92711703860763e-07,-7.29569165832216e-08,3.046885884952692e-07,-6.45592753804282e-07,-3.652109960829527e-08,-1.2074477721799983e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,21,0.0079999999999999,0.0,0.0573166666666666,1.0,True,1.1142852793561359e-08,10.589034184051494,1.7199621515153758,2.026854777147392e-06,3.486113503311646e-06,8.659444440740061e-07,9.044125351320744e-08,-1.8303280818163515e-06,9.324145766418148e-07,-8.870192443551492e-08,-3.3579342435251912e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,22,0.0079999999999999,0.00065,0.0566666666666666,1.0,True,1.1142852793561359e-08,7.050133087766127,1.110440545039152,1.8664239623818495e-05,2.0725528420614346e-05,1.6373921820166302e-06,-1.8590226557608004e-05,-2.761595813894789e-07,9.99872695425716e-08,-2.0609396264630137e-05,-2.1886791603777425e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,23,0.008375277674973156,-0.0003752776749732568,0.05629138899169334,1.0,True,1.1142852793561359e-08,7.569570868244524,1.1018032428632505,1.5543125994541277e-05,1.7125466625017664e-05,-1.1920913721208168e-05,9.953447290423114e-06,6.398974687122659e-07,-1.2220546561624237e-05,1.1945419222783564e-05,-1.1166057727420375e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,24,0.008375277674973156,-0.0003752776749732568,0.05704194434163986,1.0,True,1.1142852793561359e-08,7.333838028637027,1.1084888232742358,1.4774126721818085e-05,1.637695434477257e-05,-1.0964826192846019e-05,9.885343622260504e-06,-5.721786634003833e-07,-1.1183502244951663e-05,1.1736946379464345e-05,-2.3190517099679e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,25,0.008649999999999899,0.0,0.0566666666666666,1.0,True,1.1142852793561359e-08,6.897058716248757,1.1056207659294188,1.822355593879047e-05,2.014834187500313e-05,-1.8159824544257674e-05,-1.4559626298719306e-06,4.4602286535386335e-07,-2.0101858791494647e-05,-5.544971438377075e-08,-1.366703613805404e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,26,0.008375277674973156,0.0003752776749732568,0.05629138899169334,1.0,True,1.1142852793561359e-08,7.399976181328324,1.1042637879780843,1.5603344501618224e-05,1.7230208304483955e-05,-1.013285860561717e-05,-1.1853280190167515e-05,5.378520690041791e-07,-1.2171601778159656e-05,-1.2140187545938581e-05,-1.1610489736640409e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,27,0.008375277674973156,0.0003752776749732568,0.05704194434163986,1.0,True,1.1142852793561359e-08,7.1844266985372265,1.1174691738297433,1.4787831667698917e-05,1.6524946036436824e-05,-9.198246700523708e-06,-1.156025243848122e-05,-6.57865204348654e-07,-1.11433362168996e-05,-1.197178716078921e-05,-2.3614003559424924e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,28,0.007249444650053386,-0.0007505553499465136,0.055916111316720085,2.0,True,1.1142852793561359e-08,7.3445906814509225,1.0953898824734123,2.7584372605618928e-05,3.0215642666571728e-05,1.7380379122946615e-05,2.139068794286262e-05,1.1218301651021825e-06,2.0943265147439868e-05,2.1715707422423464e-05,-1.6711546492419375e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,29,0.007249444650053386,-0.0007505553499465136,0.05741722201661312,2.0,True,1.1142852793561359e-08,7.274590971550385,1.10411311666137,2.734103281419799e-05,3.0187592953224933e-05,1.809389635130665e-05,2.0482623155592413e-05,-7.779067046971384e-07,2.170424762439488e-05,2.0659094474066116e-05,-3.6630887076558326e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,30,0.0066999999999999,0.0,0.0566666666666666,2.0,True,1.1142852793561359e-08,7.58657033761668,1.098897742076165,3.1876859050643735e-05,3.502940843523256e-05,3.1720244952675786e-05,3.1389226527564882e-06,3.2767004267410674e-07,3.489607922826419e-05,2.984019094584879e-07,-3.038760621944804e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,31,0.007249444650053386,0.0007505553499465136,0.055916111316720085,2.0,True,1.1142852793561359e-08,7.353907326141287,1.1019923340282873,2.7074470547815846e-05,2.9835858991567707e-05,2.03711485946193e-05,-1.7811631354199707e-05,8.88284235240935e-07,2.0548219922260572e-05,-2.156360599375564e-05,-1.7204756136578151e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,32,0.007249444650053386,0.0007505553499465136,0.05741722201661312,2.0,True,1.1142852793561359e-08,7.402246214271451,1.1105365430762884,2.691004322115233e-05,2.9884586372852018e-05,2.0917656854497928e-05,-1.690034683122787e-05,-9.90118612070513e-07,2.120383278979587e-05,-2.0724983727909512e-05,-3.736445794697924e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,33,0.0079999999999999,-0.0013,0.0566666666666666,2.0,True,1.1142852793561359e-08,7.376272420357369,1.1000205359246038,3.164196434796662e-05,3.480681057975745e-05,-2.464354953488167e-06,3.1507881045461165e-05,1.5473507961279437e-06,2.1774452438057592e-07,3.4765379754660975e-05,-1.6837519328647389e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,34,0.0079999999999999,0.0,0.0553666666666666,2.0,True,1.1142852793561359e-08,50.17229763596395,0.7657916274415194,1.8890205727615264e-06,1.4465961386855603e-06,-1.289293560778577e-06,-6.072100092880922e-08,1.379287424178654e-06,-1.444321644036012e-06,4.58835646945212e-09,-8.095877972149464e-08
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,35,0.0079999999999999,0.0,0.057966666666666604,2.0,True,1.1142852793561359e-08,8.607514844565504,1.446146817479444,3.221520387503006e-06,4.6587914558326175e-06,1.544238104407359e-06,1.5303836572460574e-07,-2.8231368267603015e-06,1.6831572022786652e-06,-1.2356720923215188e-07,-4.342355444474696e-06
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,36,0.0079999999999999,0.0013,0.0566666666666666,2.0,True,1.1142852793561359e-08,7.219729907263227,1.1044080070629947,3.206212532572229e-05,3.540966793318492e-05,2.866164708572792e-06,-3.191019898932734e-05,1.2264504585131011e-06,3.630236083494319e-08,-3.536285547371402e-05,-1.8198126338270569e-06
