task,method,public_method,metric,estimate,q25,q75,iqr,minimum,maximum,range,ci95_low,ci95_high,n_valid,interval_status,bootstrap_resamples_requested,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,sampling_unit,triple_dependence
Single,IB,IB,field_concentration_fraction,0.1657022639117383,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Single,IB,IB,finite_ka_displacement_a,0.3977818388514422,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Single,IB,IB,finite_ka_stiffness_min_n_m,0.0021223446877776404,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Single,IB,IB,pressure_abs_at_exact_equilibrium_pa,1.8861658711025543e-09,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Single,IB,IB,command_time_s,0.000833700003568083,0.000814300001366064,0.0011412000021664426,0.0003269000008003786,0.0007267999899340793,0.0011575000098673627,0.00043070001993328333,0.0007267999899340793,0.0011575000098673627,5,estimated,10000,10000,20260906,3.001994598235962e+18,serial timing repetition of one deterministic command,target outcomes reduced within command before any resampling
Single,GS,GS,field_concentration_fraction,0.16570068895171494,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Single,GS,GS,finite_ka_displacement_a,0.39826236538433357,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Single,GS,GS,finite_ka_stiffness_min_n_m,0.0021217241711887764,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Single,GS,GS,pressure_abs_at_exact_equilibrium_pa,5.515639487058644e-10,,,,,,,,,1,"not_applicable: one deterministic endpoint, not an independent endpoint population",10000,0,20260906,,deterministic endpoint (descriptive value only),target outcomes reduced within command before any resampling
Single,GS,GS,command_time_s,0.0012639000051422045,0.0011652000102913007,0.0021628999966196716,0.0009976999863283709,0.0011372000008122995,0.003384600000572391,0.0022473999997600913,0.0011372000008122995,0.003384600000572391,5,estimated,10000,10000,20260906,8.462407808882141e+18,serial timing repetition of one deterministic command,target outcomes reduced within command before any resampling
Triple,Conventional,Conventional,field_concentration_fraction,0.17807895411701857,0.178043250951702,0.17815883973232854,0.00011558878062653544,0.17669714896442104,0.17818291959011986,0.0014857706256988235,0.17669714896442104,0.17818291959011986,5,estimated,10000,10000,20260906,3.5314033956422477e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,Conventional,Conventional,finite_ka_displacement_a,1.3110352713922684,1.301907027903437,1.3173553973101961,0.015448369406759088,1.2166518714879049,1.322590583617817,0.10593871212991202,1.2166518714879049,1.322590583617817,5,estimated,10000,10000,20260906,7.959469457479964e+17,independent command seed,target outcomes reduced within command before any resampling
