objective,phase_gradient_rms,nit,nfev,runtime_s,scipy_success,status,message,posthoc_winding,posthoc_winding_loop_min_over_median,posthoc_winding_circulation_residual,posthoc_winding_robust,posthoc_legacy_winding_label,array,array_label,ix,iy,xi,eta,target_id,target_x_m,target_y_m,target_z_m,method,method_short,replicate,seed,trial_id,cache_status,state_index,component,local_component,component_size,source_endpoint_position,force_target_z_n,alpha_per_m,iteration_cap,iterations,evaluations,wall_time_s,gradient_norm,phase_content_id,source_alpha_per_m,source_role,correct_sign_gorkov,primary_method,reference_method
-0.06352032479668572,2.3112234861985987e-09,132,219,2.638144780001312,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8059964522924543,0.0,True,w+,square,Square,2,4,-0.3333333333333333,0.3333333333333332,xi-0.333333_eta+0.333333,-0.004,0.0039999999999999,0.0466666666666666,GFE,GFE,1,91922805,square|xi-0.333333_eta+0.333333|GFE|r01,cached,601,B1,1,4,301,1.1142852793561358e-06,10.0,10000,7,9,0.0011566000030143186,1.6238135882325822e-08,000000000000080f8c9a58154db90e6d,9.0,branch-identified initialization only,True,GFE,GFE
-0.05904316909009114,2.6463377869851803e-09,136,207,3.847656021000148,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8415995862108613,0.0,True,w+,square,Square,3,4,0.0,0.3333333333333332,xi+0.000000_eta+0.333333,0.0,0.0039999999999999,0.05,GFE,GFE,3,45814754,square|xi+0.000000_eta+0.333333|GFE|r03,cached,623,B1,1,5,313,1.1142852793561358e-06,10.0,10000,9,11,0.001808600005460903,2.2658290010480153e-08,000000000000080f245d98ca375d162e,9.0,branch-identified initialization only,True,GFE,GFE
-0.05435851905108963,1.7960248140111263e-09,156,230,3.1305415800015908,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8390229396654698,2.220446049250313e-16,True,w+,square,Square,4,4,0.3333333333333332,0.3333333333333332,xi+0.333333_eta+0.333333,0.0039999999999999,0.0039999999999999,0.0533333333333333,GFE,GFE,1,496164531,square|xi+0.333333_eta+0.333333|GFE|r01,cached,641,B1,1,6,321,1.1142852793561358e-06,10.0,10000,6,8,0.0015703999961260706,2.199461246569642e-08,000000000000080f24e7c4a6ba0b0634,9.0,branch-identified initialization only,True,GFE,GFE
-0.0494772513901794,2.2994375472007403e-09,177,220,1.2628799919984883,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8415823189323967,1.1102230246251563e-16,True,w+,square,Square,5,4,0.6666666666666665,0.3333333333333332,xi+0.666667_eta+0.333333,0.0079999999999999,0.0039999999999999,0.0566666666666666,GFE,GFE,2,888232310,square|xi+0.666667_eta+0.333333|GFE|r02,cached,662,B1,1,6,332,1.1142852793561358e-06,10.0,10000,6,8,0.0025421999889658764,1.9860214804115964e-08,000000000000080fc63a7193db870011,9.0,branch-identified initialization only,True,GFE,GFE
-0.04418771039009719,3.524570099784957e-09,173,221,1.6073787799978163,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8629011557814846,3.3306690738754696e-16,True,w+,square,Square,6,4,1.0,0.3333333333333332,xi+1.000000_eta+0.333333,0.012,0.0039999999999999,0.06,GFE,GFE,4,646228437,square|xi+1.000000_eta+0.333333|GFE|r04,cached,684,B1,0,6,344,1.1142852793561358e-06,10.0,10000,9,11,0.002057100005913526,1.571740349342157e-08,000000000000080f455728a381161467,9.0,branch-identified initialization only,True,GFE,GFE
-0.07223756161496064,4.146594453565405e-09,114,198,2.240920634001668,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7587636230356142,3.3306690738754696e-16,True,w+,square,Square,0,5,-1.0,0.6666666666666665,xi-1.000000_eta+0.666667,-0.012,0.0079999999999999,0.04,GFE,GFE,2,957326707,square|xi-1.000000_eta+0.666667|GFE|r02,cached,702,B1,0,5,352,1.1142852793561358e-06,10.0,10000,7,9,0.0015829000039957464,1.4323772893715059e-08,000000000000080f7ed82be81916089c,9.0,branch-identified initialization only,True,GFE,GFE
-0.06802306045490361,2.946722732959208e-09,126,177,2.042155613999057,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8010856670068568,2.220446049250313e-16,True,w+,square,Square,1,5,-0.6666666666666667,0.6666666666666665,xi-0.666667_eta+0.666667,-0.008,0.0079999999999999,0.0433333333333333,GFE,GFE,1,267934303,square|xi-0.666667_eta+0.666667|GFE|r01,cached,721,B1,1,6,361,1.1142852793561358e-06,10.0,10000,8,10,0.003956400003517047,3.571281735193224e-08,000000000000080f063ca6c05bef110a,9.0,branch-identified initialization only,True,GFE,GFE
-0.06333944625799344,2.927972547354434e-09,125,177,1.1304399709988502,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8469584683318023,0.0,True,w+,square,Square,2,5,-0.3333333333333333,0.6666666666666665,xi-0.333333_eta+0.666667,-0.004,0.0079999999999999,0.0466666666666666,GFE,GFE,1,276683873,square|xi-0.333333_eta+0.666667|GFE|r01,cached,741,B1,1,5,371,1.1142852793561358e-06,10.0,10000,8,10,0.0022311000066110864,2.8041005284245908e-08,000000000000080f3274cd0aacf910fa,9.0,branch-identified initialization only,True,GFE,GFE
-0.058896589351626755,1.3798390019399362e-09,130,177,2.14212941599908,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8168703189715094,0.0,True,w+,square,Square,3,5,0.0,0.6666666666666665,xi+0.000000_eta+0.666667,0.0,0.0079999999999999,0.05,GFE,GFE,6,482889965,square|xi+0.000000_eta+0.666667|GFE|r06,cached,766,B1,0,4,386,1.1142852793561358e-06,10.0,10000,7,9,0.0014381999935721979,1.4696811981252804e-08,000000000000080f9b62b9f58ac814c6,9.0,branch-identified initialization only,True,GFE,GFE
-0.05374406361055801,4.202088204090372e-09,141,199,3.993509203999565,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8361885792648965,2.220446049250313e-16,True,w+,square,Square,4,5,0.3333333333333332,0.6666666666666665,xi+0.333333_eta+0.666667,0.0039999999999999,0.0079999999999999,0.0533333333333333,GFE,GFE,7,454890625,square|xi+0.333333_eta+0.666667|GFE|r07,cached,787,B1,1,4,397,1.1142852793561358e-06,10.0,10000,9,11,0.004525299998931587,2.3496253920508524e-08,000000000000080f471445e14f161884,9.0,branch-identified initialization only,True,GFE,GFE
