task,reference_method,internal_reference_method,comparison_method,comparison,metric,planned_pairs,valid_pairs,median_difference,q25_difference,q75_difference,minimum_difference,maximum_difference,ci_low,ci_high,interval_status,bootstrap_resamples,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,pairing_keys,pairing_detail,sampling_unit
Triple,GFE,FE+g,IB,GFE minus IB,command_time_s,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,GS,GFE minus GS,field_concentration_fraction,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,GS,GFE minus GS,finite_ka_displacement_a,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,GS,GFE minus GS,finite_ka_stiffness_min_n_m,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,GS,GFE minus GS,pressure_abs_at_exact_equilibrium_pa,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,GS,GFE minus GS,command_time_s,0,0,,,,,,,,not_applicable: deterministic method has no same-seed endpoint population,10000,0,20260906,,task + seed + identical target-condition hash,N/A: no stochastic endpoint population,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,AD,GFE minus AD,field_concentration_fraction,5,5,-0.028273702365472275,-0.03346619310731924,-0.021484593458396067,-0.035506833245143615,-0.008401741109562266,-0.035506833245143615,-0.008401741109562266,estimated,10000,10000,20260906,6.201648554662733e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,AD,GFE minus AD,finite_ka_displacement_a,5,5,-0.39043360625596957,-0.49179519286495227,-0.040156909889701,-0.8029602336306656,-0.018311383806702386,-0.8029602336306656,-0.018311383806702386,estimated,10000,10000,20260906,2.607000656072277e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,AD,GFE minus AD,finite_ka_stiffness_min_n_m,5,5,0.00017569092037806005,-6.926460590795085e-06,0.00027028181249780345,-1.9532348498929424e-05,0.0003437360828244568,-1.9532348498929424e-05,0.0003437360828244568,estimated,10000,10000,20260906,6.755934544578618e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,AD,GFE minus AD,pressure_abs_at_exact_equilibrium_pa,5,5,-750.9231932064405,-936.336467272728,-405.85040391633913,-963.7245992877246,-390.11561206227935,-963.7245992877246,-390.11561206227935,estimated,10000,10000,20260906,4.1707186150345405e+18,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
Triple,GFE,FE+g,AD,GFE minus AD,command_time_s,5,5,7.986401699992712,6.507157800006098,8.942587400000775,6.354165800003102,9.925339099994744,6.354165800003102,9.925339099994744,estimated,10000,10000,20260906,1.632166605670715e+17,task + seed + identical target-condition hash,same base-seed block; AD retains its declared native seed offset,paired command seed; Triple target outcomes reduced within command
