task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,minimum_stiffness_n_m,3,3,0,0.0022532870137583314,0.0022532403252975963,0.0022532949164320746,0.0022531936368368607,0.0022533028191058183,0.0022531936368368607,0.0022533028191058183
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,solve_wall_s,3,3,0,0.0032672000088496134,0.003248200002417434,0.004209300001093652,0.0032291999959852546,0.005151399993337691,0.0032291999959852546,0.005151399993337691
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,iterations,3,3,0,34.0,33.5,35.5,33.0,37.0,33.0,37.0
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,evaluations,3,3,0,39.0,38.0,41.5,37.0,44.0,37.0,44.0
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,terminal_gradient_l2,3,3,0,3.0990934113049095e-08,2.7012987849877103e-08,3.583136743305443e-08,2.3035041586705114e-08,4.0671800753059755e-08,2.3035041586705114e-08,4.0671800753059755e-08
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,terminal_gradient_inf,3,3,0,6.320541914298822e-09,6.100294957902894e-09,7.967714040332806e-09,5.880048001506967e-09,9.61488616636679e-09,5.880048001506967e-09,9.61488616636679e-09
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,relative_gradient_l2,3,3,0,5.582420524573891e-05,4.8231157464933846e-05,6.187393082538736e-05,4.0638109684128783e-05,6.792365640503582e-05,4.0638109684128783e-05,6.792365640503582e-05
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,objective_n_m,3,3,0,-0.059043675484404375,-0.0590436754844764,-0.05904367548430102,-0.059043675484548426,-0.05904367548419767,-0.059043675484548426,-0.05904367548419767
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,surrogate_residual_n,3,3,0,1.5011685715418067e-06,1.5011684603295124e-06,1.5011731290721307e-06,1.5011683491172181e-06,1.5011776866024548e-06,1.5011683491172181e-06,1.5011776866024548e-06
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,command_cosine_to_fixed_GFE,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,field_cosine_to_fixed_GFE,3,3,0,0.9999999999999999,0.9999999999999996,1.0,0.9999999999999993,1.0,0.9999999999999993,1.0
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,worst_displacement_a,3,3,0,0.04485529633894669,0.04485454688565878,0.04485874556672646,0.04485379743237087,0.044862194794506226,0.04485379743237087,0.044862194794506226
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,minimum_stiffness_n_m,3,3,0,0.0022533134063203574,0.0022532978483547584,0.0022533171100593023,0.0022532822903891594,0.002253320813798247,0.0022532822903891594,0.002253320813798247
