task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,Conventional,BFGS,lambda_pressure_factor,1.0,command_cosine_to_fixed_GFE,1,1,0,0.9739711963623298,0.9739711963623298,0.9739711963623298,0.9739711963623298,0.9739711963623298,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,field_cosine_to_fixed_GFE,1,1,0,0.9945919189916921,0.9945919189916921,0.9945919189916921,0.9945919189916921,0.9945919189916921,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,worst_displacement_a,1,1,0,0.16373447509735137,0.16373447509735137,0.16373447509735137,0.16373447509735137,0.16373447509735137,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,minimum_stiffness_n_m,1,1,0,0.0019552264352459235,0.0019552264352459235,0.0019552264352459235,0.0019552264352459235,0.0019552264352459235,,
Single,Conventional,BFGS,lambda_pressure_factor,1.0,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,solve_wall_s,1,1,0,22.30539169999247,22.30539169999247,22.30539169999247,22.30539169999247,22.30539169999247,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,iterations,1,1,0,2375.0,2375.0,2375.0,2375.0,2375.0,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,evaluations,1,1,0,3471.0,3471.0,3471.0,3471.0,3471.0,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,terminal_gradient_l2,1,1,0,2107.924178405901,2107.924178405901,2107.924178405901,2107.924178405901,2107.924178405901,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,terminal_gradient_inf,1,1,0,469.5516250076406,469.5516250076406,469.5516250076406,469.5516250076406,469.5516250076406,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,relative_gradient_l2,1,1,0,1.0112113502454807,1.0112113502454807,1.0112113502454807,1.0112113502454807,1.0112113502454807,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,objective_n_m,1,1,0,-50.13450894362008,-50.13450894362008,-50.13450894362008,-50.13450894362008,-50.13450894362008,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,surrogate_residual_n,1,1,0,2.307842054885257e-06,2.307842054885257e-06,2.307842054885257e-06,2.307842054885257e-06,2.307842054885257e-06,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,command_cosine_to_fixed_GFE,1,1,0,0.9297634550625635,0.9297634550625635,0.9297634550625635,0.9297634550625635,0.9297634550625635,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,field_cosine_to_fixed_GFE,1,1,0,0.9903536367983508,0.9903536367983508,0.9903536367983508,0.9903536367983508,0.9903536367983508,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,worst_displacement_a,1,1,0,0.7368833559560232,0.7368833559560232,0.7368833559560232,0.7368833559560232,0.7368833559560232,,
