archive_key,geometry,gap_lambda,method,radius_lambda,iterations,synthesis_wall_s,independent_phase_coordinates,physical_sources,paired_panels_share_phase
opposed_D45p00_IB_R1p15,opposed,45.0,IB,1.15,1,6.870001379866153e-05,256,512,True
opposed_D45p00_IB_R1p20,opposed,45.0,IB,1.2,1,6.330000178422779e-05,256,512,True
opposed_D45p00_IB_R1p25,opposed,45.0,IB,1.25,1,6.070001109037548e-05,256,512,True
opposed_D45p00_IB_R1p30,opposed,45.0,IB,1.3,1,6.730000313837081e-05,256,512,True
opposed_D45p00_IB_R1p35,opposed,45.0,IB,1.35,1,6.510000093840063e-05,256,512,True
opposed_D45p00_IB_R1p40,opposed,45.0,IB,1.4,1,6.86999992467463e-05,256,512,True
opposed_D45p00_IB_R1p45,opposed,45.0,IB,1.45,1,7.06000137142837e-05,256,512,True
opposed_D45p00_IB_R1p50,opposed,45.0,IB,1.5,1,6.569999095518142e-05,256,512,True
opposed_D45p00_IB_R1p55,opposed,45.0,IB,1.55,1,6.730000313837081e-05,256,512,True
opposed_D45p00_IB_R1p60,opposed,45.0,IB,1.6,1,6.520000169984996e-05,256,512,True
opposed_D45p00_IB_R1p65,opposed,45.0,IB,1.65,1,6.58999924780801e-05,256,512,True
opposed_D45p00_IB_R1p70,opposed,45.0,IB,1.7,1,6.540000322274864e-05,256,512,True
opposed_D45p00_IB_R1p75,opposed,45.0,IB,1.75,1,6.740000389982015e-05,256,512,True
opposed_D45p00_IB_R1p80,opposed,45.0,IB,1.8,1,0.0001782000035746,256,512,True
opposed_D45p00_IB_R1p85,opposed,45.0,IB,1.85,1,9.780000254977494e-05,256,512,True
opposed_D45p00_IB_R1p90,opposed,45.0,IB,1.9,1,9.030000364873558e-05,256,512,True
opposed_D45p00_IB_R1p95,opposed,45.0,IB,1.95,1,8.320000779349357e-05,256,512,True
opposed_D45p00_IB_R2p00,opposed,45.0,IB,2.0,1,7.249999907799065e-05,256,512,True
opposed_D45p00_IB_R2p05,opposed,45.0,IB,2.05,1,7.800001185387373e-05,256,512,True
opposed_D45p00_IB_R2p10,opposed,45.0,IB,2.1,1,0.0001163999986601,256,512,True
opposed_D45p00_IB_R2p15,opposed,45.0,IB,2.15,1,7.88000033935532e-05,256,512,True
opposed_D45p00_IB_R2p20,opposed,45.0,IB,2.2,1,7.780001033097506e-05,256,512,True
opposed_D26p70_GS_R0p80,opposed,26.7,GS,0.8,100,0.0006082000036258,256,512,True
opposed_D26p70_GS_R0p85,opposed,26.7,GS,0.85,100,0.0006280000088736,256,512,True
opposed_D26p70_GS_R0p90,opposed,26.7,GS,0.9,100,0.0005799999926239,256,512,True
opposed_D26p70_GS_R0p95,opposed,26.7,GS,0.95,100,0.0005629999941447,256,512,True
opposed_D26p70_GS_R1p00,opposed,26.7,GS,1.0,100,0.0005807999987155,256,512,True
opposed_D26p70_GS_R1p05,opposed,26.7,GS,1.05,100,0.0006084000051487,256,512,True
opposed_D26p70_GS_R1p10,opposed,26.7,GS,1.1,100,0.0006582000060006,256,512,True
opposed_D26p70_GS_R1p15,opposed,26.7,GS,1.15,100,0.0006029999931342,256,512,True
opposed_D26p70_GS_R1p20,opposed,26.7,GS,1.2,100,0.0005638000002363,256,512,True
