method,radius_mm,normalized_pressure
GS R=0.45 lambda,2.85,0.9489002143721423
GS R=0.45 lambda,2.9250000000000003,0.9584933851013917
GS R=0.45 lambda,3.0,0.967086299263137
GS R=0.45 lambda,3.0750000000000006,0.9746798049386681
GS R=0.45 lambda,3.1500000000000004,0.9812734382602462
GS R=0.45 lambda,3.2250000000000005,0.9868637050007766
GS R=0.45 lambda,3.3000000000000003,0.9914620274529242
GS R=0.45 lambda,3.3750000000000004,0.9950714697186486
GS R=0.45 lambda,3.45,0.9976960853086912
GS R=0.45 lambda,3.5250000000000004,0.9993374086363451
GS R=0.45 lambda,3.6000000000000005,1.0
GS R=0.45 lambda,3.6750000000000003,0.9996913384072575
GS R=0.45 lambda,3.7500000000000004,0.9984212202335258
GS R=0.45 lambda,3.825,0.9961957373198472
GS R=0.45 lambda,3.9000000000000004,0.993030862966784
GS R=0.45 lambda,3.975,0.9889315757406544
GS R=0.45 lambda,4.050000000000001,0.9839138727272543
GS R=0.45 lambda,4.125,0.9779953679211213
GS R=0.45 lambda,4.2,0.971187659691697
GS R=0.45 lambda,4.275,0.9635087349530616
GS R=0.45 lambda,4.3500000000000005,0.9549831292893234
GS R=0.45 lambda,4.425,0.9456247564347829
GS R=0.45 lambda,4.500000000000001,0.935443917767315
GS R=0.45 lambda,4.575,0.9244676845699571
GS R=0.45 lambda,4.65,0.9127240804391388
GS R=0.45 lambda,4.725,0.9002352696981936
GS R=0.45 lambda,4.800000000000001,0.887024230341655
GS R=0.45 lambda,4.875000000000001,0.8731121647900367
GS R=0.45 lambda,4.95,0.8585270099765683
GS R=0.45 lambda,5.025000000000001,0.8433021620203573
GS R=0.45 lambda,5.1000000000000005,0.8274637636019343
GS R=0.45 lambda,5.175000000000001,0.8110410613054501
GS R=0.45 lambda,5.25,0.7940611813686477
GS R=0.45 lambda,5.325000000000001,0.7765508343927303
GS R=0.45 lambda,5.4,0.7585343419449947
GS R=0.45 lambda,5.4750000000000005,0.7400453608087336
GS R=0.45 lambda,5.55,0.7211198127668199
GS R=0.45 lambda,5.625000000000001,0.7017882533207325
GS R=0.45 lambda,5.7,0.6820798994649345
GS R=0.45 lambda,5.775,0.6620274595408535
GS R=0.45 lambda,5.8500000000000005,0.6416676555134934
GS R=0.45 lambda,5.925000000000001,0.6210260564843164
GS R=0.45 lambda,6.0,0.6001375943206272
GS R=0.45 lambda,6.075,0.5790380697796902
GS R=0.45 lambda,6.150000000000001,0.5577587726166808
GS R=0.45 lambda,6.2250000000000005,0.5363300362717208
GS R=0.45 lambda,6.300000000000001,0.5147875974284282
GS R=0.45 lambda,6.375000000000001,0.4931641355302084
GS R=0.45 lambda,6.450000000000001,0.471489478080006
GS R=0.45 lambda,6.525,0.44980986961416836
GS R=0.45 lambda,6.6000000000000005,0.4281542939884999
GS R=0.45 lambda,6.675000000000001,0.4065535991479428
GS R=0.45 lambda,6.750000000000001,0.38503855190423
GS R=0.45 lambda,6.825,0.3636377356181142
GS R=0.45 lambda,6.9,0.34238552720501436
GS R=0.45 lambda,6.9750000000000005,0.32131315333235316
GS R=0.45 lambda,7.050000000000001,0.30045692067725255
GS R=0.45 lambda,7.125,0.27984724906753355
GS R=0.45 lambda,7.200000000000001,0.25952152463019645
GS R=0.45 lambda,7.275000000000001,0.239510641605366
GS R=0.45 lambda,7.3500000000000005,0.21984701931738246
GS R=0.45 lambda,7.425000000000001,0.20057745319823295
GS R=0.45 lambda,7.500000000000001,0.1817427017519885
GS R=0.45 lambda,7.575000000000001,0.16339881973552173
GS R=0.45 lambda,7.65,0.14560481797706815
GS R=0.45 lambda,7.7250000000000005,0.12843578776158543
GS R=0.45 lambda,7.800000000000001,0.11199140036976715
GS R=0.45 lambda,7.875,0.09640506465018113
GS R=0.45 lambda,7.95,0.0818820946495733
GS R=0.45 lambda,8.025,0.0687435141634334
GS R=0.45 lambda,8.100000000000001,0.05756165536322067
GS R=0.45 lambda,8.175,0.049438819011772044
GS R=0.45 lambda,8.25,0.04711233301540542
GS R=0.45 lambda,8.325000000000001,0.051278534295916306
GS R=0.45 lambda,8.4,0.0582681488284738
GS R=0.45 lambda,8.475000000000001,0.06670355116231906
GS R=0.45 lambda,8.55,0.0758842862223479
GS R=0.45 lambda,8.625,0.0853928099786973
