requested,method,eta,metric,n_pairs,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Twin,Conventional,0.0001,iterations,1,3761.0,3761.0,3761.0,3761.0,3761.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.0001,gradient_l2,1,830.4078021745945,830.4078021745945,830.4078021745945,830.4078021745945,830.4078021745945,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.0001,gradient_inf,1,140.4128112671297,140.4128112671297,140.4128112671297,140.4128112671297,140.4128112671297,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.0001,command_cosine_fixed_FE,1,0.9061672946654877,0.9061672946654877,0.9061672946654877,0.9061672946654877,0.9061672946654877,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.0001,xz_amplitude_cosine_fixed_FE,1,0.9976123621997087,0.9976123621997087,0.9976123621997087,0.9976123621997087,0.9976123621997087,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.001,iterations,1,3720.0,3720.0,3720.0,3720.0,3720.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.001,gradient_l2,1,456.59485527766566,456.59485527766566,456.59485527766566,456.59485527766566,456.59485527766566,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.001,gradient_inf,1,143.7979403256242,143.7979403256242,143.7979403256242,143.7979403256242,143.7979403256242,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.001,command_cosine_fixed_FE,1,0.91222133268388,0.91222133268388,0.91222133268388,0.91222133268388,0.91222133268388,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.001,xz_amplitude_cosine_fixed_FE,1,0.9987326774369104,0.9987326774369104,0.9987326774369104,0.9987326774369104,0.9987326774369104,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.003,iterations,1,3940.0,3940.0,3940.0,3940.0,3940.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.003,gradient_l2,1,736.400155546487,736.400155546487,736.400155546487,736.400155546487,736.400155546487,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.003,gradient_inf,1,156.2776201612343,156.2776201612343,156.2776201612343,156.2776201612343,156.2776201612343,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.003,command_cosine_fixed_FE,1,0.8990838742707228,0.8990838742707228,0.8990838742707228,0.8990838742707228,0.8990838742707228,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.003,xz_amplitude_cosine_fixed_FE,1,0.9990103482996413,0.9990103482996413,0.9990103482996413,0.9990103482996413,0.9990103482996413,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.01,iterations,1,3413.0,3413.0,3413.0,3413.0,3413.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.01,gradient_l2,1,797.5801535695499,797.5801535695499,797.5801535695499,797.5801535695499,797.5801535695499,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.01,gradient_inf,1,134.88853313229149,134.88853313229149,134.88853313229149,134.88853313229149,134.88853313229149,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.01,command_cosine_fixed_FE,1,0.9004089193373196,0.9004089193373196,0.9004089193373196,0.9004089193373196,0.9004089193373196,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
