case_id,levels,command_key,source_model,validator_model,source_strength_pa_m_peak,validation_workers,root_found,locally_restoring,absolute_target_error_um,root_residual_scaled,root_residual_n,on_search_boundary,stiffness_min_n_m,validation_wall_s,target_x_m,root_x_m,displacement_x_um,stiffness_eigenvalue_1_n_m,target_y_m,root_y_m,displacement_y_um,stiffness_eigenvalue_2_n_m,target_z_m,root_z_m,displacement_z_um,stiffness_eigenvalue_3_n_m,additional_equilibrium_shift_um,stiffness_retention_pct,additional_equilibrium_shift_m,absolute_target_error_m
X+0_Y+10_Z50,0,continuous_FE,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,413.35533409834375,5.168689930721845e-12,5.759395103359637e-18,False,0.0012407969070222951,10.937955299988971,0.0,3.371411885981783e-07,0.3371411885981783,0.0012407969070222951,0.01,0.009978801701414429,-21.198298585571248,0.018495171122538318,0.05,0.04958718872265835,-412.8112773416556,0.01888568084518081,0.0,100.0,0.0,0.00041335533409834373
X+0_Y+10_Z50,4,Xp0_Yp10_Z50__Q0004,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,594.186025025456,7.063989840446738e-12,7.871299892731098e-18,False,0.001032600785234678,11.003428800002439,0.0,1.9017696579072765e-05,19.017696579072766,0.001032600785234678,0.01,0.00995666403854531,-43.33596145469042,0.015126937809021626,0.05,0.04940770163431158,-592.298365688422,0.015599245045009506,181.80938960956692,83.22077363270891,0.00018180938960956692,0.000594186025025456
X+0_Y+10_Z50,8,Xp0_Yp10_Z50__Q0008,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,465.4732403714584,5.660990694805222e-12,6.307958597793522e-18,False,0.0011656701611673643,11.190158299999894,0.0,-1.1688983783177896e-05,-11.688983783177896,0.0011656701611673643,0.01,0.009991455421357867,-8.544578642133427,0.017306750936307038,0.05,0.049534752006628886,-465.2479933711165,0.018023528054010314,55.26620575177973,93.94528263007825,5.5266205751779725e-05,0.0004654732403714584
X+0_Y+10_Z50,10,Xp0_Yp10_Z50__Q0010,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,431.40712870192516,1.5606508189222466e-11,1.7390102337401575e-17,False,0.0012038372002280391,11.21989079999912,0.0,6.61282009345719e-06,6.61282009345719,0.0012038372002280391,0.01,0.009985686712653713,-14.313287346287563,0.017640810632723273,0.05,0.04956888109400005,-431.11890599994985,0.018546107855547087,20.541586904909533,97.02129280101502,2.054158690490953e-05,0.0004314071287019251
X+0_Y+10_Z50,16,Xp0_Yp10_Z50__Q0016,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,417.83615712514813,1.1989396851533108e-11,1.3359608420022144e-17,False,0.0012288106436273516,11.072246099996846,0.0,-6.186003711975255e-06,-6.186003711975255,0.0012288106436273516,0.01,0.009975333183060167,-24.666816939833065,0.018311467315757394,0.05,0.0495829384509437,-417.0615490563037,0.018640503312742383,8.52331206844299,99.0339866800838,8.523312068442991e-06,0.0004178361571251481
X+0_Y+10_Z50,32,Xp0_Yp10_Z50__Q0032,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,412.1628674979115,1.318672650481978e-11,1.4693775227216068e-17,False,0.001238732157850431,10.779326499992749,0.0,2.1823165695318864e-06,2.1823165695318862,0.001238732157850431,0.01,0.009978390087914762,-21.609912085237756,0.018413174834932003,0.05,0.049588409817247596,-411.5901827524068,0.018853614995046494,2.250593222997938,99.83359491306123,2.250593222997938e-06,0.0004121628674979115
X+0_Y+10_Z50,128,Xp0_Yp10_Z50__Q0128,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,413.75794652715683,1.0754005098845377e-11,1.198302957576423e-17,False,0.0012404588633842938,11.230706899994402,0.0,-1.243230299157439e-06,-1.2432302991574389,0.0012404588633842938,0.01,0.009979205347942808,-20.79465205719229,0.018490199583905343,0.05,0.04958676680295672,-413.23319704328344,0.01888342102704835,1.6847910237786123,99.97275592515679,1.6847910237786123e-06,0.00041375794652715684
X+0_Y+10_Z50,2048,Xp0_Yp10_Z50__Q2048,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,413.3291340156837,2.93395329954084e-12,3.269260971996721e-18,False,0.0012408448318938104,11.310498899998493,0.0,3.1349322401069483e-07,0.31349322401069485,0.0012408448318938104,0.01,0.00997879601565749,-21.203984342509433,0.0184942063965698,0.05,0.04958721523066354,-412.784769336462,0.018886577953644602,0.035975386035983804,100.00386242673913,3.59753860359838e-08,0.0004133291340156837
X+0_Y-10_Z50,0,continuous_FE,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,415.7348408807049,4.016319356934411e-12,4.475325536625116e-18,False,0.001240832200725783,11.456991099999868,0.0,-3.237738194750175e-07,-0.3237738194750175,0.001240832200725783,-0.01,-0.009978679763133139,21.320236866861215,0.018495852665847887,0.05,0.049584812330876075,-415.1876691239273,0.01888636475717127,0.0,100.0,0.0,0.00041573484088070487
X+0_Y-10_Z50,4,Xp0_Ym10_Z50__Q0004,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,594.1860250216795,1.6108911727374022e-11,1.7949923204260293e-17,False,0.0010326007851454418,11.588021800009301,0.0,-1.901769657990183e-05,-19.01769657990183,0.0010326007851454418,-0.01,-0.009956664038545388,43.33596145461235,0.01512693780903385,0.05,0.04940770163431539,-592.2983656846126,0.01559924504510115,179.45014269570157,83.2184065292194,0.00017945014269570155,0.0005941860250216794
