case_id,method,levels,phase_step_deg,objective,actual_equilibrium_shift_mm,actual_root_converged,actual_root_stable,actual_stiffness_min_n_m,stiffness_retention_pct,candidate_evaluations,command_key,mechanics_setup_ms,reference_force_norm_n,transition_time_median_ms,transition_time_q25_ms,transition_time_q75_ms,timing_repeats,predicted_shift_mm,predicted_local_stable,predicted_local_stiffness_min,stable_offset_candidates
X-10_Y+0_Z45,mechanics_offset,10,36.0,-331.4514408780737,0.0178254350003201,True,True,1.8717457475532927e-05,96.70271291848464,256,Xm10_Yp0_Z45__Q0010,2.6285,2.2193240170521808e-17,11.9022,11.8631,12.42345,3,0.0174797337597443,True,1.8827962077172145e-05,256.0
X-10_Y+0_Z45,fixed_nearest,16,22.5,-337.8480603349247,0.0167319399331476,True,True,1.9054812447097267e-05,98.44563879447256,1,,2.6285,2.2193240170521808e-17,0.645,0.6426499999999999,0.7193499999999999,3,,,,
X-10_Y+0_Z45,best_offset,16,22.5,-338.41222329941803,0.0566724263462275,True,True,1.914624776422777e-05,98.91803432333327,256,,2.6285,2.2193240170521808e-17,27.9204,27.53375,28.05735,3,,,,
X-10_Y+0_Z45,mechanics_offset,16,22.5,-338.2626589281946,0.0029694684399691,True,True,1.9100815779013863e-05,98.68331247453511,256,Xm10_Yp0_Z45__Q0016,2.6285,2.2193240170521808e-17,12.2316,12.16505,12.4363,3,0.0028988901616811,True,1.920432628354769e-05,256.0
X-10_Y+0_Z45,fixed_nearest,32,11.25,-341.1214127478902,0.0241137918446242,True,True,1.9293488419792745e-05,99.67874505894686,1,,2.6285,2.2193240170521808e-17,0.5731999999999999,0.5072,0.6472499999999999,3,,,,
X-10_Y+0_Z45,best_offset,32,11.25,-341.25213811901,0.0632733545576397,True,True,1.934332341531235e-05,99.93621481793129,256,,2.6285,2.2193240170521808e-17,27.0048,26.92395,27.3572,3,,,,
X-10_Y+0_Z45,mechanics_offset,32,11.25,-341.22664567492075,0.005212627141637,True,True,1.9288105659307647e-05,99.65093532343232,256,Xm10_Yp0_Z45__Q0032,2.6285,2.2193240170521808e-17,12.8737,12.83755,12.95545,3,0.0051566413680165,True,1.9394893885646025e-05,256.0
X-10_Y+0_Z45,fixed_nearest,128,2.8125,-342.23079558041985,0.0119453629798693,True,True,1.9355386280406228e-05,99.99853694590578,1,,2.6285,2.2193240170521808e-17,0.5690999999999999,0.47895,0.655,3,,,,
X-10_Y+0_Z45,best_offset,128,2.8125,-342.23978032359514,0.0022482222715446,True,True,1.93564642674905e-05,100.00410630679129,256,,2.6285,2.2193240170521808e-17,28.0206,27.35335,28.2271,3,,,,
X-10_Y+0_Z45,mechanics_offset,128,2.8125,-342.23925982444496,0.0007982727597358,True,True,1.9355801518894943e-05,100.0006822526826,256,Xm10_Yp0_Z45__Q0128,2.6285,2.2193240170521808e-17,12.05,11.9889,12.488599999999998,3,0.0007817146152427,True,1.946398458568077e-05,256.0
X-10_Y+0_Z45,fixed_nearest,2048,0.17578125,-342.30268333452733,0.0003926864295438,True,True,1.9355643135996417e-05,99.99986397616254,1,,2.6285,2.2193240170521808e-17,0.6980999999999999,0.5993999999999999,0.7215,3,,,,
X-10_Y+0_Z45,best_offset,2048,0.17578125,-342.30269897127704,0.000743181069161,True,True,1.935629710870796e-05,100.0032426901499,256,,2.6285,2.2193240170521808e-17,27.6666,27.5367,29.29735,3,,,,
X-10_Y+0_Z45,mechanics_offset,2048,0.17578125,-342.3026934959885,0.0001110349554869,True,True,1.9356835168167963e-05,100.00602254470878,256,Xm10_Yp0_Z45__Q2048,2.6285,2.2193240170521808e-17,12.7583,12.5871,12.93595,3,0.0001094481346547,True,1.9464950338858472e-05,256.0
X+0_Y+10_Z45,fixed_nearest,4,90.0,-167.38025459795207,0.0926767698026789,True,True,1.6324805051477706e-05,84.36194080813848,1,,2.7965,2.0854359500270264e-17,0.5405,0.45675,0.6145499999999999,3,,,,
X+0_Y+10_Z45,best_offset,4,90.0,-173.04933912496242,0.1934336514452839,True,True,1.614374936842262e-05,83.42629662931336,256,,2.7965,2.0854359500270264e-17,27.5045,27.3072,27.7611,3,,,,
X+0_Y+10_Z45,mechanics_offset,4,90.0,-172.71980795413387,0.0130977067549244,True,True,1.6158944904785465e-05,83.50482283131993,256,Xp0_Yp10_Z45__Q0004,2.7965,2.0854359500270264e-17,12.2981,12.27015,12.3287,3,0.0109576786335119,True,1.626510890130466e-05,256.0
X+0_Y+10_Z45,fixed_nearest,8,45.0,-196.25450388114504,0.1180538755229964,True,True,1.7911080505871475e-05,92.55936035262836,1,,2.7965,2.0854359500270264e-17,0.5304,0.4962999999999999,0.62815,3,,,,
X+0_Y+10_Z45,best_offset,8,45.0,-196.90891927092127,0.0766230184834447,True,True,1.826449355056733e-05,94.38569826376664,256,,2.7965,2.0854359500270264e-17,29.1904,28.1045,29.6547,3,,,,
X+0_Y+10_Z45,mechanics_offset,8,45.0,-195.17748255431667,0.0119661477670415,True,True,1.868831131329184e-05,96.57586769609112,256,Xp0_Yp10_Z45__Q0008,2.7965,2.0854359500270264e-17,12.263,12.1265,12.57025,3,0.0112217117546473,True,1.878761233805071e-05,256.0
X+0_Y+10_Z45,fixed_nearest,10,36.0,-198.26879744633789,0.1056161526024651,True,True,1.8909966150918036e-05,97.72131673714816,1,,2.7965,2.0854359500270264e-17,0.5812999999999999,0.4655999999999999,0.63845,3,,,,
X+0_Y+10_Z45,best_offset,10,36.0,-198.70361623498135,0.0815218987548822,True,True,1.867978879148299e-05,96.5318257318467,256,,2.7965,2.0854359500270264e-17,28.1289,27.2369,28.32255,3,,,,
X+0_Y+10_Z45,mechanics_offset,10,36.0,-198.4921850984348,0.0168780281390588,True,True,1.8686478742241776e-05,96.5663974910893,256,Xp0_Yp10_Z45__Q0010,2.7965,2.0854359500270264e-17,12.6296,12.57535,12.7047,3,0.0164650654486811,True,1.879493138784185e-05,256.0
X+0_Y+10_Z45,fixed_nearest,16,22.5,-201.7181225476292,0.0988853834620091,True,True,1.913173672668756e-05,98.86736387995076,1,,2.7965,2.0854359500270264e-17,0.5751999999999999,0.48105,0.6409,3,,,,
X+0_Y+10_Z45,best_offset,16,22.5,-202.67378044065384,0.0136957531622434,True,True,1.9079364000036613e-05,98.59671655204974,256,,2.7965,2.0854359500270264e-17,27.6857,27.6431,28.10555,3,,,,
X+0_Y+10_Z45,mechanics_offset,16,22.5,-202.65162805668035,0.0044503732313083,True,True,1.909203422593687e-05,98.66219266916433,256,Xp0_Yp10_Z45__Q0016,2.7965,2.0854359500270264e-17,12.7732,12.6215,12.98915,3,0.004382614326476,True,1.9194518028832263e-05,256.0
X+0_Y+10_Z45,fixed_nearest,32,11.25,-204.39382251297152,0.029352811739416,True,True,1.923331839621393e-05,99.39230900271043,1,,2.7965,2.0854359500270264e-17,0.7334999999999999,0.61195,0.8142499999999999,3,,,,
X+0_Y+10_Z45,best_offset,32,11.25,-204.4270810617557,0.0126510304780632,True,True,1.929363616879225e-05,99.70401406405024,256,,2.7965,2.0854359500270264e-17,27.6522,27.5494,27.75865,3,,,,
X+0_Y+10_Z45,mechanics_offset,32,11.25,-204.37329380297743,0.0061176578237705,True,True,1.9264786866633527e-05,99.55492909100488,256,Xp0_Yp10_Z45__Q0032,2.7965,2.0854359500270264e-17,13.0637,12.81145,13.20675,3,0.0060207483814097,True,1.937128610355271e-05,256.0
