field_class,plane,x_m,y_m,z_m,total_force_x_n,total_force_y_n,total_force_z_n,radiation_force_x_n,radiation_force_y_n,radiation_force_z_n
Twin,XZ,-0.002,0.0,0.05,4.829035780484257e-05,1.8975174839022168e-07,6.068442426585692e-06,4.829035780484257e-05,1.8975174839022168e-07,7.182727705941828e-06
Twin,XZ,-0.001,0.0,0.05,3.8216415522304886e-05,-1.439908099996973e-08,1.7331844085967315e-06,3.8216415522304886e-05,-1.439908099996973e-08,2.8474696879528673e-06
Twin,XZ,0.0,0.0,0.05,5.583627230159371e-07,-2.1992550527538842e-08,8.5692518225995e-08,5.583627230159371e-07,-2.1992550527538842e-08,1.1999777975821308e-06
Twin,XZ,0.001,0.0,0.05,-3.722914183408093e-05,1.310900873459011e-07,2.42452221362126e-06,-3.722914183408093e-05,1.310900873459011e-07,3.538807492977396e-06
Twin,XZ,0.002000000000000001,0.0,0.05,-4.75555893316804e-05,3.3946812732762746e-07,7.390182942488829e-06,-4.75555893316804e-05,3.3946812732762746e-07,8.504468221844965e-06
Twin,XZ,0.003,0.0,0.05,-2.540070222475007e-05,5.426784264507881e-07,1.1779925164183326e-05,-2.540070222475007e-05,5.426784264507881e-07,1.2894210443539462e-05
Twin,XZ,0.003999999999999999,0.0,0.05,9.066900340329115e-06,6.905120647622284e-07,1.3047382644471392e-05,9.066900340329115e-06,6.905120647622284e-07,1.4161667923827528e-05
Twin,XZ,0.005,0.0,0.05,2.9899393318670774e-05,7.66862001793671e-07,1.0970893644077356e-05,2.9899393318670774e-05,7.66862001793671e-07,1.2085178923433492e-05
Twin,XZ,0.006000000000000001,0.0,0.05,2.5264853792658044e-05,7.704895442802061e-07,7.222415137299528e-06,2.5264853792658044e-05,7.704895442802061e-07,8.336700416655664e-06
Twin,XZ,0.007,0.0,0.05,4.656490316551323e-06,6.938994244180034e-07,3.6117316559260686e-06,4.656490316551323e-06,6.938994244180034e-07,4.7260169352822046e-06
Twin,XZ,-0.007,0.0,0.051000000000000004,-5.6575019373872205e-06,1.8816793141381766e-07,2.469818168376011e-06,-5.6575019373872205e-06,1.8816793141381766e-07,3.584103447732147e-06
Twin,XZ,-0.006,0.0,0.051000000000000004,-2.529739052825333e-05,3.4202124482351783e-07,6.025411322366548e-06,-2.529739052825333e-05,3.4202124482351783e-07,7.139696601722684e-06
Twin,XZ,-0.005,0.0,0.051000000000000004,-2.914311472478031e-05,4.21892817951936e-07,9.910689334167855e-06,-2.914311472478031e-05,4.21892817951936e-07,1.1024974613523991e-05
Twin,XZ,-0.004,0.0,0.051000000000000004,-8.454852093447944e-06,3.7700009776253266e-07,1.2073535453352565e-05,-8.454852093447944e-06,3.7700009776253266e-07,1.3187820732708701e-05
Twin,XZ,-0.003,0.0,0.051000000000000004,2.5345941987361868e-05,1.834629082442382e-07,1.04995866653593e-05,2.5345941987361868e-05,1.834629082442382e-07,1.1613871944715436e-05
Twin,XZ,-0.002,0.0,0.051000000000000004,4.7260211632580246e-05,-4.9295101541672846e-08,5.669323450344634e-06,4.7260211632580246e-05,-4.9295101541672846e-08,6.78360872970077e-06
Twin,XZ,-0.001,0.0,0.051000000000000004,3.7477513715881615e-05,-1.58499442174057e-07,4.296196209854101e-07,3.7477513715881615e-05,-1.58499442174057e-07,1.5439049003415459e-06
Twin,XZ,0.0,0.0,0.051000000000000004,5.057351808356505e-07,-5.30091439047996e-08,-1.6342117068380932e-06,5.057351808356505e-07,-5.30091439047996e-08,-5.199264274819574e-07
Twin,XZ,0.001,0.0,0.051000000000000004,-3.654796452026131e-05,2.1446415701901668e-07,1.1750060728010327e-06,-3.654796452026131e-05,2.1446415701901668e-07,2.2892913521571685e-06
Twin,XZ,0.002000000000000001,0.0,0.051000000000000004,-4.651276617537293e-05,5.133800749120804e-07,7.062591895284155e-06,-4.651276617537293e-05,5.133800749120804e-07,8.17687717464029e-06
Twin,XZ,0.003,0.0,0.051000000000000004,-2.4779002564007076e-05,8.245508236175571e-07,1.230030214791054e-05,-2.4779002564007076e-05,8.245508236175571e-07,1.3414587427266676e-05
Twin,XZ,0.003999999999999999,0.0,0.051000000000000004,8.965075862521397e-06,1.025938406846609e-06,1.3974939463897821e-05,8.965075862521397e-06,1.025938406846609e-06,1.5089224743253957e-05
Twin,XZ,0.005,0.0,0.051000000000000004,2.9571744477522597e-05,1.0771557362785112e-06,1.1623829238433062e-05,2.9571744477522597e-05,1.0771557362785112e-06,1.2738114517789198e-05
Twin,XZ,0.006000000000000001,0.0,0.051000000000000004,2.5426139706825596e-05,9.96809985949543e-07,7.37375570433624e-06,2.5426139706825596e-05,9.96809985949543e-07,8.488040983692376e-06
Twin,XZ,0.007,0.0,0.051000000000000004,5.361245211196911e-06,7.904141857333761e-07,3.380668395947758e-06,5.361245211196911e-06,7.904141857333761e-07,4.494953675303894e-06
Twin,XZ,-0.007,0.0,0.052000000000000005,-6.016132670608914e-06,5.3203028484654106e-08,2.38405348083641e-06,-6.016132670608914e-06,5.3203028484654106e-08,3.4983387601925454e-06
Twin,XZ,-0.006,0.0,0.052000000000000005,-2.4966704273416042e-05,9.305366641782387e-08,6.145957558703055e-06,-2.4966704273416042e-05,9.305366641782387e-08,7.260242838059191e-06
Twin,XZ,-0.005,0.0,0.052000000000000005,-2.844939696922776e-05,9.647875249205266e-08,1.0376901720258908e-05,-2.844939696922776e-05,9.647875249205266e-08,1.1491186999615044e-05
Twin,XZ,-0.004,0.0,0.052000000000000005,-8.289685812157369e-06,1.5622515722224172e-08,1.2598440199796121e-05,-8.289685812157369e-06,1.5622515722224172e-08,1.3712725479152257e-05
Twin,XZ,-0.003,0.0,0.052000000000000005,2.4302424160291328e-05,-1.2589287279876415e-07,1.0656120597773293e-05,2.4302424160291328e-05,-1.2589287279876415e-07,1.177040587712943e-05
Twin,XZ,-0.002,0.0,0.052000000000000005,4.532693683734092e-05,-2.8204553247629383e-07,5.175149304625354e-06,4.532693683734092e-05,-2.8204553247629383e-07,6.28943458398149e-06
Twin,XZ,-0.001,0.0,0.052000000000000005,3.598587745371101e-05,-2.8383774547377597e-07,-7.819519859492811e-07,3.598587745371101e-05,-2.8383774547377597e-07,3.3233329340685464e-07
Twin,XZ,0.0,0.0,0.052000000000000005,4.811606397292839e-07,-8.690886497501634e-08,-3.1758879630396395e-06,4.811606397292839e-07,-8.690886497501634e-08,-2.061602683683504e-06
Twin,XZ,0.001,0.0,0.052000000000000005,-3.5093534991210604e-05,2.676598344881265e-07,-1.2887177522264086e-08,-3.5093534991210604e-05,2.676598344881265e-07,1.1013981018338717e-06
Twin,XZ,0.002000000000000001,0.0,0.052000000000000005,-4.4590955620162034e-05,6.768035555654979e-07,6.562846098618413e-06,-4.4590955620162034e-05,6.768035555654979e-07,7.677131377974549e-06
Twin,XZ,0.003,0.0,0.052000000000000005,-2.373420188197825e-05,1.0638370006226123e-06,1.2405654964524067e-05,-2.373420188197825e-05,1.0638370006226123e-06,1.3519940243880203e-05
Twin,XZ,0.003999999999999999,0.0,0.052000000000000005,8.799951853751379e-06,1.3256725534063866e-06,1.4395601129473546e-05,8.799951853751379e-06,1.3256725534063866e-06,1.550988640882968e-05
Twin,XZ,0.005,0.0,0.052000000000000005,2.8880497995345588e-05,1.3608139755412373e-06,1.1948261313983572e-05,2.8880497995345588e-05,1.3608139755412373e-06,1.3062546593339708e-05
Twin,XZ,0.006000000000000001,0.0,0.052000000000000005,2.5100039664600347e-05,1.2153959168716177e-06,7.333072254502566e-06,2.5100039664600347e-05,1.2153959168716177e-06,8.447357533858702e-06
Twin,XZ,0.007,0.0,0.052000000000000005,5.723766631852293e-06,9.154410622129069e-07,3.149229629127022e-06,5.723766631852293e-06,9.154410622129069e-07,4.263514908483158e-06
Twin,XZ,-0.007,0.0,0.053000000000000005,-5.936861719087796e-06,-8.439140391732898e-08,2.1537374840524265e-06,-5.936861719087796e-06,-8.439140391732898e-08,3.2680227634085625e-06
Twin,XZ,-0.006,0.0,0.053000000000000005,-2.418554327785724e-05,-1.5684389852542047e-07,6.12069075778736e-06,-2.418554327785724e-05,-1.5684389852542047e-07,7.234976037143496e-06
Twin,XZ,-0.005,0.0,0.053000000000000005,-2.749785176232563e-05,-2.2668917223805735e-07,1.0512224917090552e-05,-2.749785176232563e-05,-2.2668917223805735e-07,1.1626510196446688e-05
Twin,XZ,-0.004,0.0,0.053000000000000005,-8.216046216082904e-06,-3.117417020154381e-07,1.271336044466784e-05,-8.216046216082904e-06,-3.117417020154381e-07,1.3827645724023976e-05
Twin,XZ,-0.003,0.0,0.053000000000000005,2.2826713090646757e-05,-4.123731541723425e-07,1.0480973167551748e-05,2.2826713090646757e-05,-4.123731541723425e-07,1.1595258446907884e-05
Twin,XZ,-0.002,0.0,0.053000000000000005,4.257588273130478e-05,-4.7443603252924705e-07,4.436352517366764e-06,4.257588273130478e-05,-4.7443603252924705e-07,5.5506377967229e-06
Twin,XZ,-0.001,0.0,0.053000000000000005,3.378631036204876e-05,-3.883139762930726e-07,-1.9007751039218292e-06,3.378631036204876e-05,-3.883139762930726e-07,-7.864898245656934e-07
Twin,XZ,0.0,0.0,0.053000000000000005,4.6978422695209637e-07,-1.1628114829623891e-07,-4.433613317476808e-06,4.6978422695209637e-07,-1.1628114829623891e-07,-3.3193280381206717e-06
Twin,XZ,0.001,0.0,0.053000000000000005,-3.291093453284111e-05,3.0790703789113547e-07,-1.1674457379312338e-06,-3.291093453284111e-05,3.0790703789113547e-07,-5.31604585750981e-08
Twin,XZ,0.002000000000000001,0.0,0.053000000000000005,-4.1865255103153154e-05,8.081382149947199e-07,5.732993429154578e-06,-4.1865255103153154e-05,8.081382149947199e-07,6.847278708510714e-06
Twin,XZ,0.003,0.0,0.053000000000000005,-2.2288457059110744e-05,1.2697557000577835e-06,1.2075587863870906e-05,-2.2288457059110744e-05,1.2697557000577835e-06,1.3189873143227042e-05
Twin,XZ,0.003999999999999999,0.0,0.053000000000000005,8.675167233533524e-06,1.5727670088503467e-06,1.4313321643891976e-05,8.675167233533524e-06,1.5727670088503467e-06,1.5427606923248112e-05
Twin,XZ,0.005,0.0,0.053000000000000005,2.7874599508729502e-05,1.6173213529864145e-06,1.18673375061162e-05,2.7874599508729502e-05,1.6173213529864145e-06,1.2981622785472336e-05
Twin,XZ,0.006000000000000001,0.0,0.053000000000000005,2.430204828895911e-05,1.4060623620214674e-06,7.100134734077344e-06,2.430204828895911e-05,1.4060623620214674e-06,8.21442001343348e-06
Twin,XZ,0.007,0.0,0.053000000000000005,5.6379929133847224e-06,1.0215719004600713e-06,2.746349741367821e-06,5.6379929133847224e-06,1.0215719004600713e-06,3.860635020723957e-06
Twin,XZ,-0.007,0.0,0.054,-5.547450736852798e-06,-2.305229941358703e-07,1.8726771690443864e-06,-5.547450736852798e-06,-2.305229941358703e-07,2.986962448400522e-06
Twin,XZ,-0.006,0.0,0.054,-2.29252487031358e-05,-3.916531816439566e-07,5.854902885752945e-06,-2.29252487031358e-05,-3.916531816439566e-07,6.969188165109081e-06
Twin,XZ,-0.005,0.0,0.054,-2.633735807550501e-05,-5.140494439773383e-07,1.0309066193252222e-05,-2.633735807550501e-05,-5.140494439773383e-07,1.1423351472608358e-05
Twin,XZ,-0.004,0.0,0.054,-8.244458532654274e-06,-6.056085496361613e-07,1.2456584710557342e-05,-8.244458532654274e-06,-6.056085496361613e-07,1.3570869989913478e-05
Twin,XZ,-0.003,0.0,0.054,2.086153121214083e-05,-6.748350372916454e-07,9.989968523275007e-06,2.086153121214083e-05,-6.748350372916454e-07,1.1104253802631143e-05
Twin,XZ,-0.002,0.0,0.054,3.92889855242029e-05,-6.522912369075891e-07,3.6174597127955673e-06,3.92889855242029e-05,-6.522912369075891e-07,4.731744992151703e-06
Twin,XZ,-0.001,0.0,0.054,3.124394128605872e-05,-4.7559915874308894e-07,-2.899736730816646e-06,3.124394128605872e-05,-4.7559915874308894e-07,-1.78545145146051e-06
Twin,XZ,0.0,0.0,0.054,4.723667787030651e-07,-1.3853029460747196e-07,-5.403940973059662e-06,4.723667787030651e-07,-1.3853029460747196e-07,-4.289655693703526e-06
Twin,XZ,0.001,0.0,0.054,-3.035870395727421e-05,3.3723742726085434e-07,-2.2606751030137607e-06,-3.035870395727421e-05,3.3723742726085434e-07,-1.146389823657625e-06
Twin,XZ,0.002000000000000001,0.0,0.054,-3.859255333344092e-05,9.121410122111984e-07,4.7448679745351785e-06,-3.859255333344092e-05,9.121410122111984e-07,5.8591532538913144e-06
Twin,XZ,0.003,0.0,0.054,-2.0370029247824906e-05,1.4401851542361783e-06,1.1344391601332394e-05,-2.0370029247824906e-05,1.4401851542361783e-06,1.245867688068853e-05
